x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.024,0.003,True,1.0,0.02419,2025-09-11 15:32:01.835,2025-09-11 15:32:08.098,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.025,0.003,True,1.0,0.02518,2025-09-11 15:32:08.101,2025-09-11 15:32:14.365,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.026000000000000002,0.003,True,1.0,0.02617,2025-09-11 15:32:14.373,2025-09-11 15:32:20.631,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.027,0.003,True,1.0,0.02717,2025-09-11 15:32:20.636,2025-09-11 15:32:26.899,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.028,0.003,True,1.0,0.02816,2025-09-11 15:32:26.912,2025-09-11 15:32:33.163,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.029,0.003,True,1.0,0.02915,2025-09-11 15:32:33.167,2025-09-11 15:32:39.431,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.03,0.003,True,1.0,0.03015,2025-09-11 15:32:39.434,2025-09-11 15:32:45.697,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.031,0.003,True,1.0,0.03114,2025-09-11 15:32:45.701,2025-09-11 15:32:51.965,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.032,0.003,True,1.0,0.03214,2025-09-11 15:32:51.971,2025-09-11 15:32:58.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.033,0.003,True,1.0,0.03314,2025-09-11 15:32:58.239,2025-09-11 15:33:04.498,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.034,0.003,True,1.0,0.03413,2025-09-11 15:33:04.501,2025-09-11 15:33:10.765,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.035,0.003,True,1.0,0.03513,2025-09-11 15:33:10.767,2025-09-11 15:33:17.031,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.036000000000000004,0.003,True,1.0,0.03612,2025-09-11 15:33:17.034,2025-09-11 15:33:23.298,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.037,0.003,True,1.0,0.03712,2025-09-11 15:33:23.301,2025-09-11 15:33:29.565,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
0.35,0.038,0.003,True,1.0,0.03812,2025-09-11 15:33:29.569,2025-09-11 15:33:35.831,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z3mm_1/raster_log_2025-09-11 15:18:38.786_z3mm_z3mm_1_ocr.csv,24
