idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-15T14:45:36.884809,0.0,90,90,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-36.884_000.png
2,2025-09-15T14:45:37.391004,0.502,98,98,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-37.390_001.png
3,2025-09-15T14:45:37.894291,1.002,91,91,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-37.893_002.png
4,2025-09-15T14:45:38.387978,1.502,78,78,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-38.387_003.png
5,2025-09-15T14:45:38.892220,2.002,88,88,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-38.891_004.png
6,2025-09-15T14:45:39.393269,2.501,88,88,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-39.392_005.png
7,2025-09-15T14:45:39.892345,3.002,90,90,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-39.891_006.png
8,2025-09-15T14:45:40.394579,3.502,83,83,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-40.393_007.png
9,2025-09-15T14:45:40.891585,4.001,67,67,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-40.891_008.png
10,2025-09-15T14:45:41.387919,4.501,75,75,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-41.387_009.png
11,2025-09-15T14:45:41.887156,5.002,77,77,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-41.886_010.png
12,2025-09-15T14:45:42.388623,5.501,72,72,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-42.388_011.png
13,2025-09-15T14:45:42.887014,6.002,72,72,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-42.886_012.png
14,2025-09-15T14:45:43.388154,6.502,101,101,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-43.387_013.png
15,2025-09-15T14:45:43.884632,7.002,96,96,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-43.884_014.png
16,2025-09-15T14:45:44.386954,7.501,96,96,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-44.386_015.png
17,2025-09-15T14:45:44.884475,8.002,87,87,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-44.883_016.png
18,2025-09-15T14:45:45.388637,8.501,85,85,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z40mm/x350mm_y17mm/raster_log_2025-09-15 14:42:54.976_z40mm_x350mm_y17mm_2025-09-15_14-45-45.388_017.png
