idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-15T15:06:24.352359,0.0,49,49,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-24.351_000.png
2,2025-09-15T15:06:24.860239,0.502,61,61,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-24.859_001.png
3,2025-09-15T15:06:25.354051,1.002,69,69,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-25.353_002.png
4,2025-09-15T15:06:25.855347,1.502,60,60,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-25.854_003.png
5,2025-09-15T15:06:26.355576,2.002,60,60,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-26.354_004.png
6,2025-09-15T15:06:26.858161,2.501,49,49,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-26.857_005.png
7,2025-09-15T15:06:27.357996,3.002,47,47,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-27.357_006.png
8,2025-09-15T15:06:27.855377,3.501,57,57,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-27.854_007.png
9,2025-09-15T15:06:28.351171,4.002,62,62,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-28.350_008.png
10,2025-09-15T15:06:28.855282,4.501,54,54,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-28.854_009.png
11,2025-09-15T15:06:29.359076,5.002,52,52,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-29.358_010.png
12,2025-09-15T15:06:29.855818,5.502,48,48,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-29.855_011.png
13,2025-09-15T15:06:30.357012,6.001,45,45,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-30.356_012.png
14,2025-09-15T15:06:30.855005,6.502,52,52,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-30.854_013.png
15,2025-09-15T15:06:31.357457,7.002,57,57,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-31.356_014.png
16,2025-09-15T15:06:31.859863,7.501,49,49,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-31.859_015.png
17,2025-09-15T15:06:32.358030,8.002,45,45,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-32.357_016.png
18,2025-09-15T15:06:32.857118,8.502,45,45,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z60mm/x350mm_y20mm/raster_log_2025-09-15 14:42:54.976_z60mm_x350mm_y20mm_2025-09-15_15-06-32.856_017.png
