idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-15T13:52:46.754636,0.001,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-46.754_000.png
2,2025-09-15T13:52:47.253944,0.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-47.253_001.png
3,2025-09-15T13:52:47.757655,1.002,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-47.757_002.png
4,2025-09-15T13:52:48.257938,1.501,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-48.257_003.png
5,2025-09-15T13:52:48.751754,2.001,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-48.751_004.png
6,2025-09-15T13:52:49.268037,2.501,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-49.267_005.png
7,2025-09-15T13:52:49.754673,3.0,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-49.754_006.png
8,2025-09-15T13:52:50.258258,3.502,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-50.257_007.png
9,2025-09-15T13:52:50.763313,4.002,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-50.762_008.png
10,2025-09-15T13:52:51.252653,4.5,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-51.252_009.png
11,2025-09-15T13:52:51.756851,5.001,oo,0,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-51.756_010.png
12,2025-09-15T13:52:52.257080,5.502,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-52.256_011.png
13,2025-09-15T13:52:52.757551,6.002,4,4,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-52.757_012.png
14,2025-09-15T13:52:53.259690,6.502,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-53.259_013.png
15,2025-09-15T13:52:53.752924,7.002,1,1,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-53.752_014.png
16,2025-09-15T13:52:54.264801,7.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-54.264_015.png
17,2025-09-15T13:52:54.761585,8.002,3,3,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-54.760_016.png
18,2025-09-15T13:52:55.257466,8.502,2,2,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z8mm/x350mm_y16mm/raster_log_2025-09-15 13:28:53.262_z8mm_x350mm_y16mm_2025-09-15_13-52-55.256_017.png
