x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.006,True,1.0,0.006,2025-09-25 10:07:18.087,2025-09-25 10:07:31.974,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y0mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y0mm_ocr.csv,26,"1902, 1959, 1954, 1901, 1854, 1826, 1863, 1903, 1907, 1864, 1940, 1944, 1902, 1904, 1871, 1947, 1932, 1927, 1895, 1929",1906.20,20,"10:07:21, 10:07:21, 10:07:22, 10:07:22, 10:07:23, 10:07:23, 10:07:24, 10:07:24, 10:07:25, 10:07:25, 10:07:26, 10:07:26, 10:07:27, 10:07:27, 10:07:28, 10:07:28, 10:07:29, 10:07:29, 10:07:30, 10:07:30"
0.35,0.001,0.006,True,1.0,0.00608,2025-09-25 10:07:31.977,2025-09-25 10:07:45.244,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y1mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y1mm_ocr.csv,26,"1931, 1877, 1905, 1924, 1901, 1832, 1839, 1884, 1895, 1944, 1963, 1900, 1835, 1848, 1965, 1956, 1894, 1865, 1901, 1921",1899.00,20,"10:07:34, 10:07:34, 10:07:35, 10:07:35, 10:07:36, 10:07:36, 10:07:37, 10:07:37, 10:07:38, 10:07:38, 10:07:39, 10:07:39, 10:07:40, 10:07:40, 10:07:41, 10:07:41, 10:07:42, 10:07:42, 10:07:43, 10:07:43"
0.35,0.002,0.006,True,1.0,0.00632,2025-09-25 10:07:45.246,2025-09-25 10:07:58.510,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y2mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y2mm_ocr.csv,26,"1890, 1863, 1900, 1893, 1845, 1808, 1836, 1864, 1846, 1818, 1827, 1913, 1870, 1848, 1860, 1903, 1907, 1862, 1856, 1856",1863.25,20,"10:07:47, 10:07:48, 10:07:48, 10:07:49, 10:07:49, 10:07:50, 10:07:50, 10:07:51, 10:07:51, 10:07:52, 10:07:52, 10:07:53, 10:07:53, 10:07:54, 10:07:54, 10:07:55, 10:07:55, 10:07:56, 10:07:56, 10:07:57"
0.35,0.003,0.006,True,1.0,0.00671,2025-09-25 10:07:58.513,2025-09-25 10:08:11.777,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y3mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y3mm_ocr.csv,26,"1855, 1825, 1939, 1957, 1935, 1935, 1892, 1892, 1897, 1856, 1847, 1856, 1863, 1883, 1856, 1803, 1834, 1875, 1875, 1904",1878.95,20,"10:08:00, 10:08:01, 10:08:01, 10:08:02, 10:08:02, 10:08:03, 10:08:03, 10:08:04, 10:08:04, 10:08:05, 10:08:05, 10:08:06, 10:08:06, 10:08:07, 10:08:07, 10:08:08, 10:08:08, 10:08:09, 10:08:09, 10:08:10"
0.35,0.004,0.006,True,1.0,0.00721,2025-09-25 10:08:11.780,2025-09-25 10:08:25.044,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y4mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y4mm_ocr.csv,26,"1846, 1865, 1804, 1819, 1888, 1838, 1866, 1879, 1816, 1804, 1804, 1850, 1847, 1735, 1746, 1758, 1820, 1866, 1871, 1811",1826.65,20,"10:08:14, 10:08:14, 10:08:15, 10:08:15, 10:08:16, 10:08:16, 10:08:17, 10:08:17, 10:08:18, 10:08:18, 10:08:19, 10:08:19, 10:08:20, 10:08:20, 10:08:21, 10:08:21, 10:08:22, 10:08:22, 10:08:23, 10:08:23"
0.35,0.005,0.006,True,1.0,0.00781,2025-09-25 10:08:25.047,2025-09-25 10:08:38.310,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y5mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y5mm_ocr.csv,26,"1767, 1809, 1751, 1703, 1763, 1840, 1872, 1842, 1798, 1788, 1833, 1781, 1765, 1750, 1749, 1749, 1720, 1718, 1732, 1807",1776.85,20,"10:08:27, 10:08:27, 10:08:28, 10:08:28, 10:08:29, 10:08:29, 10:08:30, 10:08:30, 10:08:31, 10:08:31, 10:08:32, 10:08:32, 10:08:33, 10:08:33, 10:08:34, 10:08:34, 10:08:35, 10:08:35, 10:08:36, 10:08:36"
0.35,0.006,0.006,True,1.0,0.00849,2025-09-25 10:08:38.313,2025-09-25 10:08:51.577,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y6mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y6mm_ocr.csv,26,"1530, 1542, 1548, 1548, 1537, 1556, 1495, 1511, 1541, 1609, 1556, 1570, 1619, 1559, 1518, 1553, 1542, 1514, 1638, 1638",1556.20,20,"10:08:40, 10:08:41, 10:08:41, 10:08:42, 10:08:42, 10:08:43, 10:08:43, 10:08:44, 10:08:44, 10:08:45, 10:08:45, 10:08:46, 10:08:46, 10:08:47, 10:08:47, 10:08:48, 10:08:48, 10:08:49, 10:08:49, 10:08:50"
0.35,0.007,0.006,True,1.0,0.00922,2025-09-25 10:08:51.580,2025-09-25 10:09:04.844,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y7mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y7mm_ocr.csv,26,"1214, 1219, 1209, 1177, 1149, 1170, 1206, 1250, 1166, 1166, 1201, 1231, 1220, 1242, 1202, 1190, 1170, 1165, 1183, 1149",1193.95,20,"10:08:53, 10:08:54, 10:08:54, 10:08:55, 10:08:55, 10:08:56, 10:08:56, 10:08:57, 10:08:57, 10:08:58, 10:08:58, 10:08:59, 10:08:59, 10:09:00, 10:09:00, 10:09:01, 10:09:01, 10:09:02, 10:09:02, 10:09:03"
0.35,0.008,0.006,True,1.0,0.01,2025-09-25 10:09:04.847,2025-09-25 10:09:18.109,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y8mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y8mm_ocr.csv,26,"822, 834, 852, 831, 840, 828, 834, 782, 817, 870, 880, 902, 867, 822, 863, 854, 833, 887, 895, 893",850.30,20,"10:09:07, 10:09:07, 10:09:08, 10:09:08, 10:09:09, 10:09:09, 10:09:10, 10:09:10, 10:09:11, 10:09:11, 10:09:12, 10:09:12, 10:09:13, 10:09:13, 10:09:14, 10:09:14, 10:09:15, 10:09:15, 10:09:16, 10:09:16"
0.35,0.009000000000000001,0.006,True,1.0,0.01082,2025-09-25 10:09:18.113,2025-09-25 10:09:31.377,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z6mm/x350mm_y9mm/raster_log_2025-09-25 09:57:45.117_z6mm_x350mm_y9mm_ocr.csv,26,"515, 543, 519, 478, 511, 482, 488, 526, 532, 508, 511, 537, 559, 543, 495, 490, 487, 513, 556, 545",516.90,20,"10:09:20, 10:09:20, 10:09:21, 10:09:21, 10:09:22, 10:09:22, 10:09:23, 10:09:23, 10:09:24, 10:09:24, 10:09:25, 10:09:25, 10:09:26, 10:09:26, 10:09:27, 10:09:27, 10:09:28, 10:09:28, 10:09:29, 10:09:29"
