x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.07,True,1.0,0.07,2025-10-20 14:33:17.672,2025-10-20 14:33:31.633,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y0mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y0mm_ocr.csv,26,"25, 35, 33, 36, 25, 295, 295, 26, 19, 14, 13, 21, 25, 26, 26, 25, 31, 27, 27, 18",52.10,20,"14:33:20, 14:33:21, 14:33:21, 14:33:22, 14:33:22, 14:33:23, 14:33:23, 14:33:24, 14:33:24, 14:33:25, 14:33:25, 14:33:26, 14:33:26, 14:33:27, 14:33:27, 14:33:28, 14:33:28, 14:33:29, 14:33:29, 14:33:30"
0.35,0.002,0.07,True,1.0,0.07003,2025-10-20 14:33:31.636,2025-10-20 14:33:45.006,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y2mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y2mm_ocr.csv,26,"22, 22, 23, 22, 28, 30, 32, 295, 28, 27, 27, 26, 27, 21, 295, 27, 23, 27, 31, 30",53.15,20,"14:33:34, 14:33:34, 14:33:35, 14:33:35, 14:33:36, 14:33:36, 14:33:37, 14:33:37, 14:33:38, 14:33:38, 14:33:39, 14:33:39, 14:33:40, 14:33:40, 14:33:41, 14:33:41, 14:33:42, 14:33:42, 14:33:43, 14:33:43"
0.35,0.004,0.07,True,1.0,0.07011,2025-10-20 14:33:45.010,2025-10-20 14:33:58.372,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y4mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y4mm_ocr.csv,26,"295, 28, 295, 25, 27, 25, 28, 28, 24, 31, 27, 24, 31, 295, 295, 28, 32, 23, 23, 24",80.40,20,"14:33:47, 14:33:47, 14:33:48, 14:33:48, 14:33:49, 14:33:49, 14:33:50, 14:33:50, 14:33:51, 14:33:51, 14:33:52, 14:33:52, 14:33:53, 14:33:53, 14:33:54, 14:33:54, 14:33:55, 14:33:55, 14:33:56, 14:33:56"
0.35,0.006,0.07,True,1.0,0.07026,2025-10-20 14:33:58.375,2025-10-20 14:34:11.739,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y6mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y6mm_ocr.csv,26,"22, 295, 27, 18, 20, 30, 31, 34, 21, 22, 22, 19, 21, 16, 19, 19, 21, 16, 26, 26",36.25,20,"14:34:00, 14:34:01, 14:34:01, 14:34:02, 14:34:02, 14:34:03, 14:34:03, 14:34:04, 14:34:04, 14:34:05, 14:34:05, 14:34:06, 14:34:06, 14:34:07, 14:34:07, 14:34:08, 14:34:08, 14:34:09, 14:34:09, 14:34:10"
0.35,0.008,0.07,True,1.0,0.07046,2025-10-20 14:34:11.742,2025-10-20 14:34:25.105,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y8mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y8mm_ocr.csv,26,"26, 295, 33, 32, 26, 23, 21, 30, 30, 26, 36, 27, 27, 27, 20, 22, 26, 33, 31, 28",40.95,20,"14:34:14, 14:34:14, 14:34:15, 14:34:15, 14:34:16, 14:34:16, 14:34:17, 14:34:17, 14:34:18, 14:34:18, 14:34:19, 14:34:19, 14:34:20, 14:34:20, 14:34:21, 14:34:21, 14:34:22, 14:34:22, 14:34:23, 14:34:23"
0.35,0.01,0.07,True,1.0,0.07071,2025-10-20 14:34:25.108,2025-10-20 14:34:38.472,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y10mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y10mm_ocr.csv,26,"31, 31, 30, 23, 21, 28, 25, 24, 20, 20, 24, 30, 32, 32, 27, 28, 26, 26, 41, 34",27.65,20,"14:34:27, 14:34:28, 14:34:28, 14:34:29, 14:34:29, 14:34:30, 14:34:30, 14:34:31, 14:34:31, 14:34:32, 14:34:32, 14:34:33, 14:34:33, 14:34:34, 14:34:34, 14:34:35, 14:34:35, 14:34:36, 14:34:36, 14:34:37"
0.35,0.012,0.07,True,1.0,0.07102,2025-10-20 14:34:38.475,2025-10-20 14:34:51.839,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y12mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y12mm_ocr.csv,26,"295, 34, 32, 36, 24, 24, 30, 31, 30, 35, 34, 32, 25, 26, 26, 40, 31, 30, 30, 26",43.55,20,"14:34:40, 14:34:41, 14:34:41, 14:34:42, 14:34:42, 14:34:43, 14:34:43, 14:34:44, 14:34:44, 14:34:45, 14:34:45, 14:34:46, 14:34:46, 14:34:47, 14:34:47, 14:34:48, 14:34:48, 14:34:49, 14:34:49, 14:34:50"
0.35,0.014,0.07,True,1.0,0.07139,2025-10-20 14:34:51.842,2025-10-20 14:35:05.206,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y14mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y14mm_ocr.csv,26,"32, 26, 24, 26, 26, 24, 23, 23, 26, 28, 295, 26, 25, 27, 29, 32, 32, 34, 30, 24",40.60,20,"14:34:54, 14:34:54, 14:34:55, 14:34:55, 14:34:56, 14:34:56, 14:34:57, 14:34:57, 14:34:58, 14:34:58, 14:34:59, 14:34:59, 14:35:00, 14:35:00, 14:35:01, 14:35:01, 14:35:02, 14:35:02, 14:35:03, 14:35:03"
0.35,0.016,0.07,True,1.0,0.07181,2025-10-20 14:35:05.209,2025-10-20 14:35:18.574,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y16mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y16mm_ocr.csv,26,"32, 25, 25, 24, 22, 31, 31, 32, 21, 21, 18, 22, 26, 30, 20, 24, 16, 19, 20, 26",24.25,20,"14:35:07, 14:35:08, 14:35:08, 14:35:09, 14:35:09, 14:35:10, 14:35:10, 14:35:11, 14:35:11, 14:35:12, 14:35:12, 14:35:13, 14:35:13, 14:35:14, 14:35:14, 14:35:15, 14:35:15, 14:35:16, 14:35:16, 14:35:17"
0.35,0.018000000000000002,0.07,True,1.0,0.07228,2025-10-20 14:35:18.578,2025-10-20 14:35:31.938,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y18mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y18mm_ocr.csv,26,"36, 27, 26, 20, 230, 21, 26, 20, 20, 35, 22, 16, 23, 20, 14, 417, 16, 23, 23, 23",52.90,20,"14:35:20, 14:35:21, 14:35:21, 14:35:22, 14:35:22, 14:35:23, 14:35:23, 14:35:24, 14:35:24, 14:35:25, 14:35:25, 14:35:26, 14:35:26, 14:35:27, 14:35:27, 14:35:28, 14:35:29, 14:35:29, 14:35:29, 14:35:30"
0.35,0.02,0.07,True,1.0,0.0728,2025-10-20 14:35:31.941,2025-10-20 14:35:45.305,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y20mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y20mm_ocr.csv,26,"28, 27, 23, 417, 17, 20, 18, 16, 26, 21, 14, 14, 21, 21, 27, 25, 16, 16, 23, 26",40.80,20,"14:35:34, 14:35:34, 14:35:35, 14:35:35, 14:35:36, 14:35:36, 14:35:37, 14:35:37, 14:35:38, 14:35:38, 14:35:39, 14:35:39, 14:35:40, 14:35:40, 14:35:41, 14:35:41, 14:35:42, 14:35:42, 14:35:43, 14:35:43"
0.35,0.022,0.07,True,1.0,0.07338,2025-10-20 14:35:45.308,2025-10-20 14:35:58.672,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y22mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y22mm_ocr.csv,26,"21, 15, 15, 14, 25, 230, 21, 19, 417, 15, 21, 30, 30, 19, 18, 23, 23, 17, 16, 230",60.95,20,"14:35:47, 14:35:48, 14:35:48, 14:35:49, 14:35:49, 14:35:50, 14:35:50, 14:35:51, 14:35:51, 14:35:52, 14:35:52, 14:35:53, 14:35:53, 14:35:54, 14:35:54, 14:35:55, 14:35:55, 14:35:56, 14:35:56, 14:35:57"
0.35,0.024,0.07,True,1.0,0.074,2025-10-20 14:35:58.675,2025-10-20 14:36:12.039,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y24mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y24mm_ocr.csv,26,"21, 25, 21, 14, 11, 22, 22, 18, 14, 19, 12, 12, 21, 22, 19, 19, 10, 8, 13, 16",16.95,20,"14:36:01, 14:36:01, 14:36:02, 14:36:02, 14:36:03, 14:36:03, 14:36:04, 14:36:04, 14:36:05, 14:36:05, 14:36:06, 14:36:06, 14:36:07, 14:36:07, 14:36:08, 14:36:08, 14:36:09, 14:36:09, 14:36:10, 14:36:10"
0.35,0.026000000000000002,0.07,True,1.0,0.07467,2025-10-20 14:36:12.041,2025-10-20 14:36:25.403,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y26mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y26mm_ocr.csv,26,"417, 20, 205, 20, 19, 16, 15, 20, 19, 22, 12, 14, 22, 22, 18, 19, 13, 10, 12, 15",46.50,20,"14:36:14, 14:36:14, 14:36:15, 14:36:15, 14:36:16, 14:36:16, 14:36:17, 14:36:17, 14:36:18, 14:36:18, 14:36:19, 14:36:19, 14:36:20, 14:36:20, 14:36:21, 14:36:21, 14:36:22, 14:36:22, 14:36:23, 14:36:23"
0.35,0.028,0.07,True,1.0,0.07539,2025-10-20 14:36:25.406,2025-10-20 14:36:38.772,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y28mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y28mm_ocr.csv,26,"10, 10, 10, 11, 16, 22, 7, 9, 11, 12, 15, 14, 11, 16, 18, 13, 16, 16, 16, 16",13.45,20,"14:36:27, 14:36:28, 14:36:28, 14:36:29, 14:36:29, 14:36:30, 14:36:30, 14:36:31, 14:36:31, 14:36:32, 14:36:32, 14:36:33, 14:36:33, 14:36:34, 14:36:34, 14:36:35, 14:36:35, 14:36:36, 14:36:36, 14:36:37"
0.35,0.03,0.07,True,1.0,0.07616,2025-10-20 14:36:38.776,2025-10-20 14:36:52.139,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y30mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y30mm_ocr.csv,26,"12, 14, 15, 17, 12, 14, 19, 12, 9, 16, 22, 13, 12, 15, 15, 9, 11, 10, 9, 417",33.65,20,"14:36:41, 14:36:41, 14:36:42, 14:36:42, 14:36:43, 14:36:43, 14:36:44, 14:36:44, 14:36:45, 14:36:45, 14:36:46, 14:36:46, 14:36:47, 14:36:47, 14:36:48, 14:36:48, 14:36:49, 14:36:49, 14:36:50, 14:36:50"
0.35,0.032,0.07,True,1.0,0.07697,2025-10-20 14:36:52.141,2025-10-20 14:37:05.505,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y32mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y32mm_ocr.csv,26,"18, 18, 19, 18, 19, 16, 11, 13, 16, 417, 16, 13, 12, 9, 8, 11, 9, 11, 11, 13",33.90,20,"14:36:54, 14:36:55, 14:36:55, 14:36:56, 14:36:56, 14:36:57, 14:36:57, 14:36:58, 14:36:58, 14:36:59, 14:36:59, 14:37:00, 14:37:00, 14:37:01, 14:37:01, 14:37:02, 14:37:02, 14:37:03, 14:37:03, 14:37:04"
0.35,0.034,0.07,True,1.0,0.07782,2025-10-20 14:37:05.510,2025-10-20 14:37:18.872,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y34mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y34mm_ocr.csv,26,"13, 16, 10, 13, 13, 12, 10, 11, 9, 16, 16, 15, 12, 10, 8, 13, 21, 18, 18, 11",13.25,20,"14:37:07, 14:37:08, 14:37:08, 14:37:09, 14:37:09, 14:37:10, 14:37:10, 14:37:11, 14:37:11, 14:37:12, 14:37:12, 14:37:13, 14:37:13, 14:37:14, 14:37:14, 14:37:15, 14:37:15, 14:37:16, 14:37:16, 14:37:17"
0.35,0.036000000000000004,0.07,True,1.0,0.07871,2025-10-20 14:37:18.875,2025-10-20 14:37:32.239,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y36mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y36mm_ocr.csv,26,"12, 11, 11, 12, 10, 10, 10, 11, 14, 16, 12, 12, 8, 8, 13, 14, 11, 8, 6, 8",10.85,20,"14:37:21, 14:37:21, 14:37:22, 14:37:22, 14:37:23, 14:37:23, 14:37:24, 14:37:24, 14:37:25, 14:37:25, 14:37:26, 14:37:26, 14:37:27, 14:37:27, 14:37:28, 14:37:28, 14:37:29, 14:37:29, 14:37:30, 14:37:30"
0.35,0.038,0.07,True,1.0,0.07965,2025-10-20 14:37:32.242,2025-10-20 14:37:45.604,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y38mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y38mm_ocr.csv,26,"3, 5, 10, 10, 12, 6, 6, 10, 8, 7, 10, 10, 9, 5, 5, 8, 12, 16, 16, 9",8.85,20,"14:37:34, 14:37:35, 14:37:35, 14:37:36, 14:37:36, 14:37:37, 14:37:37, 14:37:38, 14:37:38, 14:37:39, 14:37:39, 14:37:40, 14:37:40, 14:37:41, 14:37:41, 14:37:42, 14:37:42, 14:37:43, 14:37:43, 14:37:44"
0.35,0.04,0.07,True,1.0,0.08062,2025-10-20 14:37:45.607,2025-10-20 14:37:58.971,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y40mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y40mm_ocr.csv,26,"9, 8, 7, 9, 16, 13, 7, 6, 7, 12, 9, 9, 8, 9, 12, 5, 3, 4, 9, 9",8.55,20,"14:37:48, 14:37:48, 14:37:49, 14:37:49, 14:37:50, 14:37:50, 14:37:51, 14:37:51, 14:37:52, 14:37:52, 14:37:53, 14:37:53, 14:37:54, 14:37:54, 14:37:55, 14:37:55, 14:37:56, 14:37:56, 14:37:57, 14:37:57"
0.35,0.042,0.07,True,1.0,0.08163,2025-10-20 14:37:58.973,2025-10-20 14:38:12.339,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y42mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y42mm_ocr.csv,26,"9, 9, 9, 9, 8, 9, 5, 9, 10, 6, 4, 7, 7, 6, 3, 4, 5, 6, 9, 10",7.20,20,"14:38:01, 14:38:01, 14:38:02, 14:38:02, 14:38:03, 14:38:03, 14:38:04, 14:38:04, 14:38:05, 14:38:05, 14:38:06, 14:38:06, 14:38:07, 14:38:07, 14:38:08, 14:38:08, 14:38:09, 14:38:09, 14:38:10, 14:38:10"
0.35,0.044,0.07,True,1.0,0.08268,2025-10-20 14:38:12.342,2025-10-20 14:38:25.704,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y44mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y44mm_ocr.csv,26,"2, 4, 4, 8, 7, 6, 5, 6, 7, 6, 4, 4, 2, 4, 3, 3, 4, 4, 5, 5",4.65,20,"14:38:14, 14:38:15, 14:38:15, 14:38:16, 14:38:16, 14:38:17, 14:38:17, 14:38:18, 14:38:18, 14:38:19, 14:38:19, 14:38:20, 14:38:20, 14:38:21, 14:38:21, 14:38:22, 14:38:22, 14:38:23, 14:38:23, 14:38:24"
0.35,0.046,0.07,True,1.0,0.08376,2025-10-20 14:38:25.706,2025-10-20 14:38:39.070,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y46mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y46mm_ocr.csv,26,"13, 7, 8, 4, 5, 5, 4, 3, 4, 6, 6, 2, 4, 5, 3, 2, 5, 8, 8, 6",5.40,20,"14:38:28, 14:38:28, 14:38:29, 14:38:29, 14:38:30, 14:38:30, 14:38:31, 14:38:31, 14:38:32, 14:38:32, 14:38:33, 14:38:33, 14:38:34, 14:38:34, 14:38:35, 14:38:35, 14:38:36, 14:38:36, 14:38:37, 14:38:37"
0.35,0.048,0.07,True,1.0,0.08488,2025-10-20 14:38:39.073,2025-10-20 14:38:52.437,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z70mm/x350mm_y48mm/raster_log_2025-10-20 13:29:43.903_z70mm_x350mm_y48mm_ocr.csv,26,"4, 5, 3, 0, 4, 4, 3, 3, 6, 7, 4, 7, 5, 3, 4, 5, 7, 6, 4, 4",4.40,20,"14:38:41, 14:38:41, 14:38:42, 14:38:43, 14:38:43, 14:38:43, 14:38:44, 14:38:44, 14:38:45, 14:38:45, 14:38:46, 14:38:46, 14:38:47, 14:38:47, 14:38:48, 14:38:48, 14:38:49, 14:38:49, 14:38:50, 14:38:50"
