x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.022,0.01,True,1.0,0.02417,2025-09-15 14:15:51.534,2025-09-15 14:16:00.795,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y22mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y22mm_ocr.csv,18
0.35,0.023,0.01,True,1.0,0.02508,2025-09-15 14:16:00.799,2025-09-15 14:16:10.064,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y23mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y23mm_ocr.csv,18
0.35,0.024,0.01,True,1.0,0.026,2025-09-15 14:16:10.067,2025-09-15 14:16:19.329,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y24mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y24mm_ocr.csv,18
0.35,0.025,0.01,True,1.0,0.02693,2025-09-15 14:16:19.333,2025-09-15 14:16:28.597,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y25mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y25mm_ocr.csv,18
0.35,0.026000000000000002,0.01,True,1.0,0.02786,2025-09-15 14:16:28.601,2025-09-15 14:16:37.864,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y26mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y26mm_ocr.csv,18
0.35,0.027,0.01,True,1.0,0.02879,2025-09-15 14:16:37.867,2025-09-15 14:16:47.131,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y27mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y27mm_ocr.csv,18
0.35,0.028,0.01,True,1.0,0.02973,2025-09-15 14:16:47.133,2025-09-15 14:16:56.398,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y28mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y28mm_ocr.csv,18
0.35,0.029,0.01,True,1.0,0.03068,2025-09-15 14:16:56.401,2025-09-15 14:17:05.662,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y29mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y29mm_ocr.csv,18
0.35,0.03,0.01,True,1.0,0.03162,2025-09-15 14:17:05.665,2025-09-15 14:17:14.931,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y30mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y30mm_ocr.csv,18
0.35,0.031,0.01,True,1.0,0.03257,2025-09-15 14:17:14.933,2025-09-15 14:17:24.198,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y31mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y31mm_ocr.csv,18
0.35,0.032,0.01,True,1.0,0.03353,2025-09-15 14:17:24.201,2025-09-15 14:17:33.463,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y32mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y32mm_ocr.csv,18
0.35,0.033,0.01,True,1.0,0.03448,2025-09-15 14:17:33.465,2025-09-15 14:17:42.731,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y33mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y33mm_ocr.csv,18
0.35,0.034,0.01,True,1.0,0.03544,2025-09-15 14:17:42.734,2025-09-15 14:17:51.998,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y34mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y34mm_ocr.csv,18
0.35,0.035,0.01,True,1.0,0.0364,2025-09-15 14:17:52.001,2025-09-15 14:18:01.264,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y35mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y35mm_ocr.csv,18
0.35,0.036000000000000004,0.01,True,1.0,0.03736,2025-09-15 14:18:01.267,2025-09-15 14:18:10.530,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y36mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y36mm_ocr.csv,18
0.35,0.037,0.01,True,1.0,0.03833,2025-09-15 14:18:10.533,2025-09-15 14:18:19.796,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y37mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y37mm_ocr.csv,18
0.35,0.038,0.01,True,1.0,0.03929,2025-09-15 14:18:19.800,2025-09-15 14:18:29.064,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y38mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y38mm_ocr.csv,18
0.35,0.039,0.01,True,1.0,0.04026,2025-09-15 14:18:29.067,2025-09-15 14:18:38.331,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y39mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y39mm_ocr.csv,18
0.35,0.04,0.01,True,1.0,0.04123,2025-09-15 14:18:38.334,2025-09-15 14:18:47.597,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y40mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y40mm_ocr.csv,18
0.35,0.041,0.01,True,1.0,0.0422,2025-09-15 14:18:47.600,2025-09-15 14:18:56.864,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y41mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y41mm_ocr.csv,18
0.35,0.042,0.01,True,1.0,0.04317,2025-09-15 14:18:56.867,2025-09-15 14:19:06.131,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y42mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y42mm_ocr.csv,18
0.35,0.043000000000000003,0.01,True,1.0,0.04415,2025-09-15 14:19:06.134,2025-09-15 14:19:15.396,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y43mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y43mm_ocr.csv,18
0.35,0.044,0.01,True,1.0,0.04512,2025-09-15 14:19:15.399,2025-09-15 14:19:24.664,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y44mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y44mm_ocr.csv,18
0.35,0.045,0.01,True,1.0,0.0461,2025-09-15 14:19:24.667,2025-09-15 14:19:33.931,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y45mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y45mm_ocr.csv,18
0.35,0.046,0.01,True,1.0,0.04707,2025-09-15 14:19:33.938,2025-09-15 14:19:43.196,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y46mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y46mm_ocr.csv,18
0.35,0.047,0.01,True,1.0,0.04805,2025-09-15 14:19:43.199,2025-09-15 14:19:52.464,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y47mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y47mm_ocr.csv,18
0.35,0.048,0.01,True,1.0,0.04903,2025-09-15 14:19:52.467,2025-09-15 14:20:01.729,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y48mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y48mm_ocr.csv,18
0.35,0.049,0.01,True,1.0,0.05001,2025-09-15 14:20:01.732,2025-09-15 14:20:10.997,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y49mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y49mm_ocr.csv,18
0.35,0.05,0.01,True,1.0,0.05099,2025-09-15 14:20:11.000,2025-09-15 14:20:20.264,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y50mm/raster_log_2025-09-15 14:03:48.999_z10mm_x350mm_y50mm_ocr.csv,18
